t,EF0,ENt,sigmaNt,relErrPercent
3000,2949.366667,2950.993294,36.005813,0.055152
6000,5856.433333,5834.713405,92.317594,-0.370873
9000,8751.766667,8717.590101,159.513892,-0.390510
12000,11643.266667,11790.165993,166.463014,1.261668
15000,14533.066667,14563.959105,245.041771,0.212567
18000,17417.366667,17418.264892,301.532683,0.005157
21000,20302.533333,20284.375062,346.954579,-0.089438
24000,23185.700000,23169.529543,412.674463,-0.069743
27000,26064.733333,26019.040310,420.933302,-0.175306
30000,28941.800000,28935.548031,519.480547,-0.021602
33000,31818.833333,31823.028519,610.465813,0.013185
36000,34692.266667,34742.459835,641.805842,0.144681
39000,37566.600000,37588.420883,686.883893,0.058086
42000,40437.033333,40445.137016,729.145507,0.020040
45000,43303.833333,43374.719536,696.866361,0.163695
48000,46167.300000,46223.411952,703.073136,0.121540
51000,49031.066667,48985.720408,654.227420,-0.092485
54000,51894.300000,51844.605514,739.219384,-0.095761
57000,54756.633333,54701.755875,783.136938,-0.100221
60000,57614.766667,57548.340607,750.067500,-0.115293
